policy,avg_reward,std_reward,avg_throughput,action_stay_ratio,episodes_completed,obss_duration
Primary-Only,6.947368421052632,29.475187931565557,6.947368421052632,0.99999990000001,19,20
NPCA-Only,25.384615384615383,59.53220002852813,25.384615384615383,0.0,13,20
DRL-20,6.6,28.76873302736845,6.6,0.499999950000005,20,20
Primary-Only,6.6,28.76873302736845,6.6,0.99999990000001,20,50
NPCA-Only,6.6,28.76873302736845,6.6,0.0,20,50
DRL-50,6.6,28.76873302736845,6.6,0.499999950000005,20,50
NPCA-Only,14.85,44.85451482292501,14.85,0.0,20,100
DRL-100,6.6,28.76873302736845,6.6,0.499999950000005,20,100
Primary-Only,6.6,28.76873302736845,6.6,0.99999990000001,20,150
NPCA-Only,6.6,28.76873302736845,6.6,0.0,20,150
